Record ID,Case ID,Landlord Name,Landlord Type,Decision Date,Category,Complaint Description,Finding Outcome,Source Decision ID
1,202347433,London & Quadrant Housing Trust,Housing Association,26 May 2026,Leaks & Water Ingress,The landlord’s response to reports of water leak s,Reasonable Redress,1
2,202347433,London & Quadrant Housing Trust,Housing Association,26 May 2026,Complaint Handling,The handling of the complaint,Service Failure,1
3,202448147,London Borough of Islington,Local Authority / ALMO or TMO,21 May 2026,Anti-Social Behaviour (ASB),Reports of noise disturbance.,No Maladministration,2
4,202448147,London Borough of Islington,Local Authority / ALMO or TMO,21 May 2026,Other,Concerns regarding a warning letter issued to the resident.,No Maladministration,2
5,202448147,London Borough of Islington,Local Authority / ALMO or TMO,21 May 2026,Complaint Handling,Response to the resident’s complaint.,Reasonable Redress,2
6,202532561,London Borough of Camden Council,Local Authority / ALMO or TMO,19 May 2026,Other,The resident’s concerns about the windows,Service Failure,3
7,202532561,London Borough of Camden Council,Local Authority / ALMO or TMO,19 May 2026,Complaint Handling,The handling of the complaint,No Maladministration,3
8,202347731,Peabody Trust,Housing Association,8 May 2026,Estate Management,The landlord’s handling of reports of personal items that were stored in communal areas,Maladministration,4
9,202347731,Peabody Trust,Housing Association,8 May 2026,Anti-Social Behaviour (ASB),The landlord’s handling of ASB,Maladministration,4
10,202347731,Peabody Trust,Housing Association,8 May 2026,Complaint Handling,The landlord’s complaint handling,Service Failure,4
11,202443688,Southern Housing,Housing Association,8 May 2026,Leaks & Water Ingress,Leak in a communal area,Service Failure,5
12,202443688,Southern Housing,Housing Association,8 May 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,5
13,202533112,Octavia Housing,Housing Association,30 April 2026,Other,Alteration of a direct debit.,Outside Jurisdiction,6
14,202533112,Octavia Housing,Housing Association,30 April 2026,Rent & Service Charges,Legal action for rent arrears and reasonable adjustments.,No Maladministration,6
15,202533112,Octavia Housing,Housing Association,30 April 2026,Anti-Social Behaviour (ASB),ASB,Reasonable Redress,6
16,202533112,Octavia Housing,Housing Association,30 April 2026,Damp & Mould,Damp and mould,Reasonable Redress,6
